id_credit,id_client,montant_fcfa,statut_credit,proba_defaut,score_credit_ia,risque_ia
CRD-0000108,CLI-006665,25049148,En retard,0.79157764,300,Critique
CRD-0000109,CLI-040569,27747520,En cours,0.8360308,300,Critique
CRD-0000110,CLI-031503,17035719,Remboursé,0.5621919,372,Élevé
CRD-0000111,CLI-007806,31366661,Remboursé,0.7806915,300,Critique
CRD-0000112,CLI-039148,23221790,En cours,0.80479765,300,Critique
CRD-0000113,CLI-005145,10622169,Remboursé,0.686719,300,Élevé
CRD-0000114,CLI-004410,46776690,En retard,0.87514985,300,Critique
CRD-0000115,CLI-014255,3893009,Remboursé,0.3075186,588,Moyen
CRD-0000116,CLI-025384,4796442,En cours,0.7605329,300,Critique
CRD-0000117,CLI-033717,34840329,Défaut,0.8626847,300,Critique
CRD-0000118,CLI-011323,22136135,En cours,0.74030906,300,Critique
CRD-0000119,CLI-014027,37309693,Remboursé,0.83398,300,Critique
CRD-0000120,CLI-013429,2766273,En cours,0.5963365,343,Élevé
CRD-0000121,CLI-022691,17546363,Remboursé,0.17550188,700,Faible
CRD-0000122,CLI-016982,42159197,Remboursé,0.68948376,300,Élevé
CRD-0000123,CLI-039974,46218179,En cours,0.678019,300,Élevé
CRD-0000124,CLI-006746,24491854,En cours,0.56042755,373,Élevé
CRD-0000125,CLI-016230,17022826,En cours,0.5337004,396,Élevé
CRD-0000126,CLI-035561,18311343,En cours,0.6661799,300,Élevé
CRD-0000127,CLI-012780,12130151,En cours,0.6198387,323,Élevé
CRD-0000128,CLI-005370,3349872,En cours,0.29890007,595,Faible
CRD-0000129,CLI-038859,20512031,Défaut,0.69630575,300,Élevé
CRD-0000130,CLI-029519,7307845,Défaut,0.70635533,300,Critique
CRD-0000131,CLI-005853,49909425,Remboursé,0.8620005,300,Critique
CRD-0000132,CLI-025127,19922334,Remboursé,0.31770545,579,Moyen
CRD-0000133,CLI-023653,31266406,Défaut,0.8538262,300,Critique
CRD-0000134,CLI-034184,38794094,Remboursé,0.8583629,300,Critique
CRD-0000135,CLI-001418,48232022,En cours,0.7743707,300,Critique
CRD-0000136,CLI-036695,10832460,Remboursé,0.029905133,824,Faible
CRD-0000137,CLI-044315,25568553,Remboursé,0.8021955,300,Critique
CRD-0000138,CLI-028925,37267864,En cours,0.7609095,300,Critique
CRD-0000139,CLI-004999,16145760,En cours,0.46836382,451,Moyen
CRD-0000140,CLI-044262,38678671,Défaut,0.8070613,300,Critique
CRD-0000141,CLI-039075,10920376,En cours,0.27488792,616,Faible
CRD-0000142,CLI-005806,47887938,Défaut,0.88879275,300,Critique
CRD-0000143,CLI-028522,19207899,En retard,0.7910747,300,Critique
CRD-0000144,CLI-021787,6013105,Défaut,0.82227093,300,Critique
CRD-0000145,CLI-037519,5615281,En retard,0.7750834,300,Critique
CRD-0000146,CLI-001151,19271024,Remboursé,0.34226814,559,Moyen
CRD-0000147,CLI-012342,21372503,En cours,0.68955755,300,Élevé
CRD-0000148,CLI-027979,24414998,Remboursé,0.5588366,374,Élevé
CRD-0000149,CLI-032556,26886085,En cours,0.7857873,300,Critique
CRD-0000150,CLI-011452,24667108,En cours,0.7705958,300,Critique
CRD-0000151,CLI-024101,19354492,En cours,0.4745645,446,Moyen
CRD-0000152,CLI-036629,2734206,Remboursé,0.21696006,665,Faible
CRD-0000153,CLI-043797,30362939,En cours,0.7865093,300,Critique
CRD-0000154,CLI-044324,6303713,En retard,0.75758606,300,Critique
CRD-0000155,CLI-042482,40352424,Remboursé,0.8191525,300,Critique
CRD-0000156,CLI-010241,49197358,Défaut,0.83229744,300,Critique
CRD-0000157,CLI-040918,42742020,Remboursé,0.81392014,300,Critique
CRD-0000158,CLI-026677,26602777,En retard,0.8367451,300,Critique
CRD-0000159,CLI-005355,1460573,Défaut,0.0654936,794,Faible
CRD-0000160,CLI-039720,10444380,En cours,0.58399,353,Élevé
CRD-0000161,CLI-012243,13357905,Remboursé,0.5115559,415,Élevé
CRD-0000162,CLI-044361,33419891,En cours,0.78132397,300,Critique
CRD-0000163,CLI-012497,26181087,Défaut,0.83222306,300,Critique
CRD-0000164,CLI-043922,37638577,En cours,0.80169815,300,Critique
CRD-0000165,CLI-022557,8732050,Défaut,0.53791124,392,Élevé
CRD-0000166,CLI-030337,13962157,En cours,0.57287216,363,Élevé
CRD-0000167,CLI-021021,20040226,En cours,0.5253682,403,Élevé
CRD-0000168,CLI-009180,42553532,En cours,0.836698,300,Critique
CRD-0000169,CLI-017521,26790946,En retard,0.81564105,300,Critique
CRD-0000170,CLI-032017,978596,En cours,0.53092843,398,Élevé
CRD-0000171,CLI-019626,19343810,Remboursé,0.3835902,523,Moyen
CRD-0000172,CLI-016015,49289702,En retard,0.87209886,300,Critique
CRD-0000173,CLI-030300,16720763,En cours,0.49427676,429,Moyen
CRD-0000174,CLI-027740,2042487,Défaut,0.8885936,300,Critique
CRD-0000175,CLI-032783,594777,En cours,0.61819565,324,Élevé
CRD-0000176,CLI-038593,25663478,En retard,0.8603537,300,Critique
CRD-0000177,CLI-031104,6633692,Remboursé,0.14066745,730,Faible
CRD-0000178,CLI-008451,11406399,Défaut,0.82522535,300,Critique
CRD-0000179,CLI-005203,49215187,Remboursé,0.8480212,300,Critique
CRD-0000180,CLI-020911,10497283,En cours,0.17223845,703,Faible
CRD-0000181,CLI-034128,28046616,En cours,0.79484403,300,Critique
CRD-0000182,CLI-026744,32462192,Remboursé,0.56125265,372,Élevé
CRD-0000183,CLI-037716,20742068,Remboursé,0.6966269,300,Élevé
CRD-0000184,CLI-041819,5819736,Défaut,0.4855701,437,Moyen
CRD-0000185,CLI-027021,4440140,Remboursé,0.2577618,630,Faible
CRD-0000186,CLI-002785,39593906,Remboursé,0.80394286,300,Critique
CRD-0000187,CLI-025000,2445894,Défaut,0.68707585,300,Élevé
CRD-0000188,CLI-028439,37120546,En retard,0.8730103,300,Critique
CRD-0000189,CLI-017418,4827807,Remboursé,0.80896693,300,Critique
CRD-0000190,CLI-040834,47721148,En cours,0.8598006,300,Critique
CRD-0000191,CLI-011913,11735090,En cours,0.46538353,454,Moyen
CRD-0000192,CLI-002421,35099295,En cours,0.788331,300,Critique
CRD-0000193,CLI-015037,15640806,Remboursé,0.5384304,392,Élevé
CRD-0000194,CLI-028685,47488331,Remboursé,0.8489029,300,Critique
CRD-0000195,CLI-019576,6144600,Remboursé,0.58419305,353,Élevé
CRD-0000196,CLI-025097,29796365,En cours,0.48515126,437,Moyen
CRD-0000197,CLI-034171,5613323,En cours,0.59626323,343,Élevé
CRD-0000198,CLI-035183,19464146,En cours,0.44775006,469,Moyen
CRD-0000199,CLI-044790,11332758,En cours,0.2266992,657,Faible
CRD-0000200,CLI-031400,12777257,Remboursé,0.115075044,752,Faible
CRD-0000201,CLI-044184,10156915,En cours,0.38333723,524,Moyen
CRD-0000202,CLI-035909,28015366,Remboursé,0.7432025,300,Critique
CRD-0000203,CLI-005848,42542346,En cours,0.81505436,300,Critique
CRD-0000204,CLI-019070,9063598,En cours,0.4508543,466,Moyen
CRD-0000205,CLI-032008,18017246,En cours,0.45974982,459,Moyen
CRD-0000206,CLI-018091,45813758,Remboursé,0.87678635,300,Critique
CRD-0000207,CLI-042520,22615961,Remboursé,0.74707234,300,Critique
CRD-0000208,CLI-011299,24049305,En retard,0.7068119,300,Critique
CRD-0000209,CLI-015810,44285491,En retard,0.88086575,300,Critique
CRD-0000350,CLI-022338,40772824,Remboursé,0.7352846,300,Critique
CRD-0000210,CLI-032848,34024843,Remboursé,0.8091258,300,Critique
CRD-0000211,CLI-033737,7268945,En cours,0.7349401,300,Critique
CRD-0000212,CLI-032002,14114165,Défaut,0.84371656,300,Critique
CRD-0000213,CLI-041087,46980831,En cours,0.6781409,300,Élevé
CRD-0000214,CLI-000524,29071762,En cours,0.641921,304,Élevé
CRD-0000215,CLI-014019,26131825,En retard,0.888238,300,Critique
CRD-0000216,CLI-032165,30708628,En retard,0.8317237,300,Critique
CRD-0000217,CLI-044152,49816935,En cours,0.82138646,300,Critique
CRD-0000218,CLI-002815,16186090,Défaut,0.7561938,300,Critique
CRD-0000219,CLI-004078,37914381,En cours,0.856446,300,Critique
CRD-0000220,CLI-034065,33398629,En cours,0.86405885,300,Critique
CRD-0000221,CLI-010330,22013917,En cours,0.74898016,300,Critique
CRD-0000222,CLI-025558,12489828,Remboursé,0.57122827,364,Élevé
CRD-0000223,CLI-035778,3426397,En cours,0.36843488,536,Moyen
CRD-0000224,CLI-018354,34465191,Défaut,0.82711256,300,Critique
CRD-0000225,CLI-034326,42952237,En retard,0.9301399,300,Critique
CRD-0000226,CLI-033843,21968120,Remboursé,0.5505179,382,Élevé
CRD-0000227,CLI-005459,38257713,Remboursé,0.6654255,300,Élevé
CRD-0000228,CLI-024872,12606171,Remboursé,0.37483668,531,Moyen
CRD-0000229,CLI-042652,25944684,En cours,0.6564936,300,Élevé
CRD-0000230,CLI-012259,7450871,Remboursé,0.39506426,514,Moyen
CRD-0000231,CLI-021535,16330856,En cours,0.30627704,589,Moyen
CRD-0000232,CLI-016426,11303747,Défaut,0.5233854,405,Élevé
CRD-0000233,CLI-026012,13413004,Remboursé,0.5177832,409,Élevé
CRD-0000234,CLI-016068,11730125,En cours,0.059022523,799,Faible
CRD-0000235,CLI-032596,834110,En cours,0.15908393,714,Faible
CRD-0000236,CLI-008857,28647210,En retard,0.83811826,300,Critique
CRD-0000237,CLI-003800,45505452,En cours,0.76968616,300,Critique
CRD-0000238,CLI-018286,23480756,En cours,0.58615786,351,Élevé
CRD-0000239,CLI-020472,49540558,Remboursé,0.74954474,300,Critique
CRD-0000240,CLI-024900,36920392,En retard,0.82731795,300,Critique
CRD-0000241,CLI-017962,30915249,Défaut,0.8230354,300,Critique
CRD-0000242,CLI-001362,13328889,Remboursé,0.6507462,300,Élevé
CRD-0000243,CLI-017861,8747368,En cours,0.24079652,645,Faible
CRD-0000244,CLI-007137,41500169,Remboursé,0.73785424,300,Critique
CRD-0000245,CLI-029642,12638539,Défaut,0.7439965,300,Critique
CRD-0000246,CLI-031409,15318760,En cours,0.24500625,641,Faible
CRD-0000247,CLI-005434,33244619,En cours,0.8387803,300,Critique
CRD-0000248,CLI-034064,39142325,En cours,0.8123661,300,Critique
CRD-0000249,CLI-038443,32099691,Remboursé,0.8274477,300,Critique
CRD-0000250,CLI-001039,23787489,Remboursé,0.54957575,382,Élevé
CRD-0000251,CLI-003502,5423290,Défaut,0.46861318,451,Moyen
CRD-0000252,CLI-034899,43852134,En retard,0.79847026,300,Critique
CRD-0000253,CLI-031669,4670440,En cours,0.43162003,483,Moyen
CRD-0000254,CLI-023376,22400241,En cours,0.76756537,300,Critique
CRD-0000255,CLI-039610,20483491,En retard,0.8386456,300,Critique
CRD-0000256,CLI-034327,26244681,En cours,0.7579723,300,Critique
CRD-0000257,CLI-016954,3679917,En cours,0.2963944,598,Faible
CRD-0000258,CLI-039425,45651319,En cours,0.8636228,300,Critique
CRD-0000259,CLI-011482,13350450,Remboursé,0.17247346,703,Faible
CRD-0000260,CLI-041155,26840817,En cours,0.6622798,300,Élevé
CRD-0000261,CLI-019596,40734907,Défaut,0.8910806,300,Critique
CRD-0000262,CLI-016978,14459141,En cours,0.6825481,300,Élevé
CRD-0000263,CLI-002190,10728404,Remboursé,0.36607018,538,Moyen
CRD-0000264,CLI-031146,7668384,En retard,0.7877312,300,Critique
CRD-0000265,CLI-001265,8712812,Défaut,0.50877225,417,Élevé
CRD-0000266,CLI-023678,43946834,Remboursé,0.8102492,300,Critique
CRD-0000267,CLI-017423,25182008,En retard,0.83344907,300,Critique
CRD-0000268,CLI-001613,45327439,En cours,0.6936882,300,Élevé
CRD-0000269,CLI-019137,47313775,En cours,0.86074746,300,Critique
CRD-0000270,CLI-040374,32261144,Remboursé,0.8915999,300,Critique
CRD-0000271,CLI-033538,20355876,Remboursé,0.43139577,483,Moyen
CRD-0000272,CLI-028953,34072870,Remboursé,0.77080005,300,Critique
CRD-0000273,CLI-020452,43935845,En cours,0.86608535,300,Critique
CRD-0000274,CLI-021266,25969563,En retard,0.7375358,300,Critique
CRD-0000275,CLI-016076,13612263,Défaut,0.81589514,300,Critique
CRD-0000276,CLI-034966,15761350,En cours,0.7439578,300,Critique
CRD-0000277,CLI-015056,45657817,En cours,0.8641392,300,Critique
CRD-0000278,CLI-019411,44009527,Défaut,0.80463,300,Critique
CRD-0000279,CLI-022928,15313072,En cours,0.54930544,383,Élevé
CRD-0000280,CLI-014019,45949381,En retard,0.8706432,300,Critique
CRD-0000281,CLI-029936,47708319,En retard,0.81774676,300,Critique
CRD-0000282,CLI-025465,14034882,Remboursé,0.339311,561,Moyen
CRD-0000283,CLI-008175,40254994,En retard,0.86740786,300,Critique
CRD-0000284,CLI-036269,23999242,En cours,0.7498476,300,Critique
CRD-0000285,CLI-030003,12170461,Remboursé,0.60686296,334,Élevé
CRD-0000286,CLI-001566,36524206,En retard,0.64617395,300,Élevé
CRD-0000287,CLI-042769,19313084,Remboursé,0.585385,352,Élevé
CRD-0000288,CLI-027857,33077540,En cours,0.86444455,300,Critique
CRD-0000289,CLI-024290,48195265,En cours,0.8255867,300,Critique
CRD-0000290,CLI-038514,41840605,Remboursé,0.7877724,300,Critique
CRD-0000291,CLI-034426,8732264,En retard,0.8578831,300,Critique
CRD-0000292,CLI-037261,30947333,Remboursé,0.83182657,300,Critique
CRD-0000293,CLI-026861,4969239,Remboursé,0.5974033,342,Élevé
CRD-0000294,CLI-027645,43060338,Remboursé,0.8319312,300,Critique
CRD-0000295,CLI-037229,44647076,En retard,0.7855217,300,Critique
CRD-0000296,CLI-000116,7711250,En retard,0.39836577,511,Moyen
CRD-0000297,CLI-014165,23260833,Défaut,0.8260529,300,Critique
CRD-0000298,CLI-024439,25058205,Remboursé,0.81825656,300,Critique
CRD-0000299,CLI-011061,28546208,En cours,0.8202059,300,Critique
CRD-0000300,CLI-006194,20668233,Défaut,0.71802163,300,Critique
CRD-0000301,CLI-023894,13916663,En cours,0.3277919,571,Moyen
CRD-0000302,CLI-026088,34245067,En retard,0.8470833,300,Critique
CRD-0000303,CLI-028283,24293838,Remboursé,0.6378258,307,Élevé
CRD-0000304,CLI-009449,48363755,Défaut,0.880395,300,Critique
CRD-0000305,CLI-011496,553514,En retard,0.9326894,300,Critique
CRD-0000306,CLI-009474,36452246,Remboursé,0.83818406,300,Critique
CRD-0000307,CLI-015036,47501842,En retard,0.8675884,300,Critique
CRD-0000308,CLI-007597,14795754,En cours,0.23955616,646,Faible
CRD-0000309,CLI-015183,29977069,En cours,0.7899106,300,Critique
CRD-0000310,CLI-036624,38602235,Remboursé,0.75382143,300,Critique
CRD-0000311,CLI-010280,6374141,Défaut,0.7708271,300,Critique
CRD-0000312,CLI-035953,42514415,Défaut,0.8324145,300,Critique
CRD-0000313,CLI-044450,34020662,Défaut,0.7401545,300,Critique
CRD-0000314,CLI-039052,21914333,Remboursé,0.7094965,300,Critique
CRD-0000315,CLI-000924,36784475,En retard,0.83576757,300,Critique
CRD-0000316,CLI-037531,13590069,Remboursé,0.24771532,639,Faible
CRD-0000317,CLI-001652,24251520,En cours,0.72022355,300,Critique
CRD-0000318,CLI-041635,22775581,Remboursé,0.6290295,315,Élevé
CRD-0000319,CLI-038801,9779735,Remboursé,0.39939734,510,Moyen
CRD-0000320,CLI-038449,38946400,Remboursé,0.7433312,300,Critique
CRD-0000321,CLI-044793,27380721,En cours,0.6549828,300,Élevé
CRD-0000322,CLI-007353,11712984,En retard,0.7748018,300,Critique
CRD-0000323,CLI-017126,15330256,Défaut,0.68582666,300,Élevé
CRD-0000324,CLI-008009,35741520,En retard,0.8419834,300,Critique
CRD-0000325,CLI-044673,26684967,En cours,0.6582701,300,Élevé
CRD-0000326,CLI-029933,12548784,En cours,0.14105849,730,Faible
CRD-0000327,CLI-007243,5998236,Remboursé,0.77887076,300,Critique
CRD-0000328,CLI-039170,16247716,Remboursé,0.6999582,300,Élevé
CRD-0000329,CLI-016879,2271495,Défaut,0.20481646,675,Faible
CRD-0000330,CLI-021330,44051362,Défaut,0.8061878,300,Critique
CRD-0000331,CLI-007135,30970411,Remboursé,0.72868925,300,Critique
CRD-0000332,CLI-041789,2984980,En cours,0.3413197,559,Moyen
CRD-0000333,CLI-007298,47490282,Défaut,0.7919078,300,Critique
CRD-0000334,CLI-000891,32637073,Défaut,0.83000326,300,Critique
CRD-0000335,CLI-018478,31757233,Remboursé,0.84153223,300,Critique
CRD-0000336,CLI-016012,27845675,Remboursé,0.5127654,414,Élevé
CRD-0000337,CLI-020740,45845161,En retard,0.8656447,300,Critique
CRD-0000338,CLI-004834,8998848,Défaut,0.64357656,302,Élevé
CRD-0000339,CLI-002452,8696867,En retard,0.6490633,300,Élevé
CRD-0000340,CLI-004167,8568231,Remboursé,0.7558763,300,Critique
CRD-0000341,CLI-026566,5908172,En cours,0.3991829,510,Moyen
CRD-0000342,CLI-017063,31298613,Remboursé,0.8306802,300,Critique
CRD-0000343,CLI-019512,13650177,En cours,0.3112399,585,Moyen
CRD-0000344,CLI-026507,15994527,En cours,0.38084847,526,Moyen
CRD-0000345,CLI-001070,36136428,En retard,0.862807,300,Critique
CRD-0000346,CLI-004579,4527144,Remboursé,0.09848792,766,Faible
CRD-0000347,CLI-036237,20349209,Remboursé,0.6952949,300,Élevé
CRD-0000348,CLI-020897,6039600,Défaut,0.49753103,427,Moyen
CRD-0000349,CLI-031053,15625379,Défaut,0.7081221,300,Critique
CRD-0000351,CLI-012765,12978367,En retard,0.5653092,369,Élevé
CRD-0000352,CLI-000718,7558747,En cours,0.38779137,520,Moyen
CRD-0000353,CLI-001314,48675461,En cours,0.83239704,300,Critique
CRD-0000354,CLI-017409,24400122,En cours,0.6689636,300,Élevé
CRD-0000355,CLI-038092,32752604,En cours,0.7969893,300,Critique
CRD-0000356,CLI-021292,45564061,Défaut,0.8465844,300,Critique
CRD-0000357,CLI-009227,42438642,Remboursé,0.8198144,300,Critique
CRD-0000358,CLI-024352,7932445,En cours,0.7264562,300,Critique
CRD-0000359,CLI-024403,41010104,Remboursé,0.7685972,300,Critique
CRD-0000360,CLI-029380,21283379,En retard,0.8601319,300,Critique
CRD-0000361,CLI-029686,18228900,En cours,0.6107376,330,Élevé
CRD-0000362,CLI-029811,13695997,En cours,0.6026332,337,Élevé
CRD-0000363,CLI-041586,21022336,En retard,0.9209759,300,Critique
CRD-0000364,CLI-015639,12968308,En retard,0.7221021,300,Critique
CRD-0000365,CLI-007768,45826857,En cours,0.72631913,300,Critique
CRD-0000366,CLI-003742,20641242,En cours,0.46137008,457,Moyen
CRD-0000367,CLI-018374,10813930,En cours,0.52396184,404,Élevé
CRD-0000368,CLI-022885,34415197,En cours,0.72636235,300,Critique
CRD-0000369,CLI-032008,9074371,En cours,0.33735004,563,Moyen
CRD-0000370,CLI-018047,5034518,Remboursé,0.5016509,423,Élevé
CRD-0000371,CLI-011063,6758081,Défaut,0.83890074,300,Critique
CRD-0000372,CLI-016645,28422197,Remboursé,0.77421516,300,Critique
CRD-0000373,CLI-032113,21861083,En cours,0.5177405,409,Élevé
CRD-0000374,CLI-012472,14391285,En cours,0.74087584,300,Critique
CRD-0000375,CLI-041844,30697875,Remboursé,0.786662,300,Critique
CRD-0000376,CLI-010568,34303072,Remboursé,0.7527655,300,Critique
CRD-0000377,CLI-042586,15803780,En cours,0.43150067,483,Moyen
CRD-0000378,CLI-001701,22285403,En retard,0.7847037,300,Critique
CRD-0000379,CLI-032015,1072993,En cours,0.2289489,655,Faible
CRD-0000380,CLI-007193,38437850,Remboursé,0.76196647,300,Critique
CRD-0000381,CLI-013517,3635769,En cours,0.4879155,435,Moyen
CRD-0000382,CLI-011478,29086993,Remboursé,0.8283075,300,Critique
CRD-0000383,CLI-030171,26623315,Remboursé,0.6369184,308,Élevé
CRD-0000384,CLI-020145,19655283,Remboursé,0.7153857,300,Critique
CRD-0000385,CLI-027814,40243665,Remboursé,0.84458965,300,Critique
CRD-0000386,CLI-008763,39392429,En cours,0.67176765,300,Élevé
