Age,Annual_Income,Employment_Years,Loan_Amount,Credit_Utilization,Number_of_Credit_Cards,Number_of_Late_Payments,Debt_to_Income_Ratio,Number_of_Open_Accounts,Has_Mortgage,Has_Dependents,Credit_Score,Default_Probability,Loan_Status
64,78075.15,24,3972.94,0.83,6,0,0.051,11,0,0,669.0,0.319,Paid
23,19493.83,0,1753.76,0.633,5,4,0.09,8,1,0,507.0,0.5,Default
57,76732.71,31,10057.22,0.912,8,2,0.131,8,0,1,572.0,0.462,Default
27,86584.76,23,1000.0,0.944,1,0,0.012,8,1,1,615.0,0.355,Paid
41,55803.17,8,10137.78,0.808,7,2,0.182,2,0,1,542.0,0.482,Default
29,58513.22,0,5888.19,0.559,9,0,0.101,5,1,0,707.0,0.274,Paid
59,79351.18,38,8152.43,0.827,9,1,0.103,9,1,1,662.0,0.356,Paid
38,44726.91,9,21691.04,0.396,3,0,0.485,10,0,0,667.0,0.306,Paid
24,73215.53,29,14894.21,0.372,4,1,0.203,5,1,0,736.0,0.222,Paid
45,41643.71,4,21682.6,0.374,4,2,0.521,4,0,0,582.0,0.418,Paid
34,35651.16,3,37195.94,0.235,8,2,1.043,4,1,0,537.0,0.521,Default
29,65919.81,7,1000.0,0.629,7,1,0.015,3,0,1,667.0,0.312,Paid
46,59466.26,15,9550.2,0.665,8,3,0.161,8,1,0,568.0,0.454,Default
22,25579.91,0,4707.74,0.849,5,3,0.184,5,0,0,463.0,0.565,Default
40,88306.22,14,8046.02,0.696,3,2,0.091,5,1,1,586.0,0.398,Paid
48,51705.66,23,18765.9,0.775,9,1,0.363,1,0,1,596.0,0.443,Paid
67,70213.6,14,32699.26,0.691,9,1,0.466,10,0,0,583.0,0.458,Default
27,92103.67,5,21444.04,0.698,2,1,0.233,10,1,1,574.0,0.409,Paid
64,64952.09,1,19852.13,0.367,8,0,0.306,8,1,1,721.0,0.256,Paid
28,85465.84,4,25404.76,0.948,3,3,0.297,2,0,0,409.0,0.63,Default
67,42738.92,38,29918.98,0.644,9,2,0.7,8,1,0,558.0,0.512,Default
55,88419.71,33,32968.47,0.596,2,1,0.373,11,0,0,633.0,0.354,Paid
34,43482.71,38,19870.57,0.838,9,1,0.457,5,1,0,588.0,0.466,Default
37,48577.17,31,5377.23,0.441,2,1,0.111,6,1,0,727.0,0.218,Paid
56,30906.69,28,11605.47,0.14,7,3,0.376,1,0,0,704.0,0.282,Paid
60,65368.49,28,1000.0,0.273,7,0,0.015,8,1,0,850.0,0.078,Paid
24,72618.55,23,22663.21,0.802,8,1,0.312,12,0,0,593.0,0.438,Paid
22,75336.17,30,6483.67,0.731,4,1,0.086,10,1,0,654.0,0.328,Paid
26,31368.27,23,7834.37,0.159,4,5,0.25,12,0,0,618.0,0.363,Paid
62,67499.52,14,18536.16,0.115,8,3,0.275,2,1,0,709.0,0.27,Paid
24,68239.65,11,1000.0,0.628,6,1,0.015,6,0,0,671.0,0.304,Paid
49,72295.43,19,25318.7,0.923,6,3,0.35,10,0,0,451.0,0.606,Default
38,44545.42,3,20553.9,0.213,5,0,0.461,3,1,0,725.0,0.237,Paid
46,15000.0,12,10668.77,0.561,3,5,0.711,11,1,0,379.0,0.684,Default
64,74129.58,9,14508.73,0.805,2,2,0.196,1,1,0,517.0,0.483,Default
54,57083.41,22,8291.07,0.542,8,2,0.145,4,1,0,662.0,0.336,Paid
30,65604.82,6,41044.1,0.377,1,1,0.626,7,0,0,589.0,0.396,Paid
56,58107.86,11,5830.49,0.785,1,0,0.1,8,0,0,621.0,0.342,Paid
34,64690.04,14,18228.29,0.767,5,1,0.282,8,1,0,576.0,0.433,Paid
51,74742.39,6,12370.01,0.822,5,1,0.166,9,0,0,567.0,0.437,Paid
68,22859.57,7,15539.31,0.929,2,3,0.68,8,0,1,339.0,0.732,Default
35,82820.41,6,20125.96,0.19,7,1,0.243,7,1,0,751.0,0.207,Paid
28,56357.15,3,20515.43,0.367,1,0,0.364,12,1,0,678.0,0.27,Paid
34,92541.49,6,11430.52,0.967,4,1,0.124,7,1,0,527.0,0.482,Default
43,50810.89,29,3378.67,0.603,4,3,0.066,4,1,0,614.0,0.373,Paid
60,46368.04,17,7679.08,0.673,2,2,0.166,5,0,0,579.0,0.405,Paid
41,57033.21,29,10393.78,0.872,3,1,0.182,14,1,1,585.0,0.416,Paid
36,69999.74,6,9032.74,0.693,2,0,0.129,6,1,0,638.0,0.324,Paid
65,54512.95,22,4582.19,0.685,6,0,0.084,11,0,0,702.0,0.275,Paid
38,71450.27,36,19480.84,0.147,2,2,0.273,11,0,0,753.0,0.189,Paid
67,52257.48,6,1442.7,0.521,7,0,0.028,12,1,0,735.0,0.225,Paid
44,60697.84,37,14485.9,0.676,6,0,0.239,5,0,1,703.0,0.288,Paid
46,104731.06,28,1000.0,0.801,2,0,0.01,12,0,0,674.0,0.287,Paid
45,67145.34,33,25910.49,0.434,3,0,0.386,5,1,0,724.0,0.243,Paid
65,68749.92,38,8852.1,0.165,8,2,0.129,8,1,0,811.0,0.149,Paid
61,30548.6,17,7723.95,0.39,1,1,0.253,8,0,0,681.0,0.268,Paid
49,87085.75,24,6044.03,0.45,9,1,0.069,6,1,0,754.0,0.223,Paid
35,81329.3,26,32052.02,0.748,2,2,0.394,8,0,0,529.0,0.486,Default
65,45711.02,26,28274.57,0.068,8,2,0.619,7,0,0,718.0,0.281,Paid
21,80934.52,11,15543.6,0.409,8,1,0.192,13,1,0,711.0,0.269,Paid
45,66596.02,22,9980.39,0.467,8,1,0.15,6,0,0,724.0,0.258,Paid
27,60928.32,16,35756.28,0.562,4,3,0.587,5,0,0,496.0,0.539,Default
29,85819.11,6,19976.83,0.952,2,3,0.233,4,1,1,420.0,0.609,Default
44,49754.03,23,12447.57,0.739,2,1,0.25,9,0,1,594.0,0.395,Paid
21,45552.9,6,9389.49,0.257,7,0,0.206,6,0,1,779.0,0.173,Paid
64,64151.27,28,23177.96,0.639,1,1,0.361,3,0,1,607.0,0.378,Paid
28,70564.58,27,12794.31,0.372,2,0,0.181,14,0,0,766.0,0.169,Paid
44,79326.32,22,1611.03,0.805,3,0,0.02,1,0,0,664.0,0.304,Paid
31,56980.94,9,16718.95,0.209,7,1,0.293,8,0,0,742.0,0.224,Paid
37,43004.58,15,17387.44,0.184,8,1,0.404,6,1,0,744.0,0.235,Paid
28,110571.35,33,15443.44,0.144,4,1,0.14,8,0,0,825.0,0.104,Paid
55,38268.11,24,20051.81,0.556,4,4,0.524,1,0,0,486.0,0.552,Default
55,61102.36,1,11765.05,0.165,1,2,0.193,8,0,0,689.0,0.242,Paid
53,75594.11,4,15070.15,0.089,1,1,0.199,13,0,0,756.0,0.157,Paid
25,83022.45,13,14900.25,0.359,7,3,0.179,12,0,0,647.0,0.342,Paid
62,48656.8,30,1611.42,0.792,9,3,0.033,5,0,1,591.0,0.437,Paid
59,22501.65,39,22027.8,0.195,2,2,0.979,12,0,1,604.0,0.414,Paid
61,48194.7,5,20502.1,0.383,9,1,0.425,3,0,0,665.0,0.341,Paid
48,77226.45,27,24892.25,0.455,7,2,0.322,6,0,0,658.0,0.345,Paid
27,72749.93,8,4908.64,0.865,8,2,0.067,2,1,0,553.0,0.47,Default
29,73402.45,5,10773.47,0.493,5,2,0.147,3,0,0,628.0,0.351,Paid
28,74233.28,16,26090.97,0.526,1,0,0.351,5,0,0,659.0,0.304,Paid
32,86801.68,39,9238.38,0.287,8,2,0.106,11,0,1,781.0,0.189,Paid
54,44482.23,34,32964.6,0.672,3,1,0.741,5,0,1,543.0,0.493,Default
53,36042.04,11,1000.0,0.074,5,1,0.028,14,1,0,829.0,0.086,Paid
68,67409.6,17,9346.95,0.947,7,4,0.139,8,1,0,447.0,0.606,Default
43,39029.51,33,10351.37,0.513,7,1,0.265,12,1,1,704.0,0.289,Paid
44,34781.69,0,22637.36,0.107,7,2,0.651,10,1,1,643.0,0.358,Paid
57,84479.2,14,31653.87,0.57,2,0,0.375,13,0,0,642.0,0.332,Paid
55,65007.2,17,18039.07,0.528,2,2,0.277,5,0,0,600.0,0.38,Paid
64,60569.86,21,1000.0,0.274,3,1,0.017,6,1,0,782.0,0.142,Paid
60,60985.48,17,14189.83,0.244,6,0,0.233,11,1,0,794.0,0.153,Paid
42,57877.22,0,16231.33,0.302,2,4,0.28,14,1,0,553.0,0.425,Paid
47,84344.81,19,18931.14,0.171,7,0,0.224,1,1,0,827.0,0.118,Paid
55,29707.68,35,14214.31,0.544,9,1,0.478,1,1,1,666.0,0.361,Paid
21,28879.53,37,28063.75,0.867,9,2,0.972,5,0,0,434.0,0.684,Default
55,41272.37,24,6117.22,0.909,2,2,0.148,7,0,0,526.0,0.48,Default
57,65783.23,15,4692.4,0.936,8,3,0.071,6,1,0,505.0,0.536,Default
67,96106.87,19,8876.33,0.608,8,0,0.092,1,0,0,727.0,0.253,Paid
34,77381.68,37,41018.7,0.628,8,0,0.53,11,0,1,670.0,0.356,Paid
23,71848.85,32,13201.45,0.339,2,2,0.184,1,1,0,706.0,0.247,Paid
21,58402.66,6,26488.06,0.873,3,4,0.454,2,0,0,364.0,0.693,Default
25,33349.4,22,26299.96,0.504,4,0,0.789,14,0,0,605.0,0.414,Paid
46,70299.8,10,1000.0,0.31,6,3,0.014,13,0,0,684.0,0.278,Paid
34,100519.34,32,14434.62,0.948,2,0,0.144,8,0,0,611.0,0.378,Paid
59,55198.85,39,26202.18,0.706,5,2,0.475,6,1,0,566.0,0.467,Default
47,48786.53,4,43617.16,0.482,9,0,0.894,8,0,1,580.0,0.473,Default
29,55295.14,7,25783.58,0.114,6,0,0.466,11,1,0,767.0,0.191,Paid
35,71995.02,16,11575.7,0.18,8,0,0.161,5,0,0,836.0,0.108,Paid
35,62234.6,17,29602.39,0.233,2,2,0.476,8,0,0,649.0,0.322,Paid
46,78200.28,26,10688.19,0.89,4,1,0.137,14,0,0,588.0,0.415,Paid
62,59330.98,30,3685.21,0.954,6,1,0.062,6,0,1,602.0,0.41,Paid
33,55179.77,3,21998.3,0.298,4,2,0.399,12,1,0,627.0,0.353,Paid
52,64580.12,1,1000.0,0.513,9,3,0.015,11,0,0,620.0,0.378,Paid
59,49206.96,4,9045.4,0.786,2,1,0.184,1,0,0,555.0,0.432,Paid
69,94815.3,16,29867.4,0.408,7,3,0.315,13,0,0,612.0,0.396,Paid
52,76462.29,38,22123.35,0.508,9,2,0.289,3,1,1,681.0,0.334,Paid
24,38006.03,31,6360.45,0.875,2,1,0.167,4,1,0,586.0,0.408,Paid
50,45084.82,28,16403.54,0.243,6,1,0.364,3,1,1,750.0,0.22,Paid
57,71306.74,15,14049.06,0.974,2,1,0.197,3,1,0,518.0,0.489,Default
43,63666.35,0,24073.38,0.474,5,2,0.378,12,0,0,577.0,0.423,Paid
59,66050.23,11,18799.94,0.29,8,4,0.285,10,1,0,608.0,0.399,Paid
65,56157.45,18,16547.69,0.88,3,1,0.295,10,0,0,538.0,0.474,Default
35,69103.46,8,14634.53,0.121,5,0,0.212,10,1,0,812.0,0.116,Paid
63,56627.88,6,4001.72,0.647,3,1,0.071,1,0,0,629.0,0.338,Paid
49,71267.59,29,28801.53,0.107,3,1,0.404,7,1,0,770.0,0.176,Paid
56,75460.56,14,19188.34,0.93,1,0,0.254,13,1,0,553.0,0.44,Paid
33,92134.81,3,11715.2,0.645,2,0,0.127,8,1,0,647.0,0.31,Paid
52,49706.02,5,12441.64,0.42,7,1,0.25,7,1,0,679.0,0.303,Paid
27,59777.63,37,13978.63,0.445,4,2,0.234,6,0,1,684.0,0.294,Paid
42,35620.37,34,6777.16,0.204,1,2,0.19,9,0,0,744.0,0.191,Paid
48,96525.23,1,9322.07,0.385,4,2,0.097,7,0,0,657.0,0.301,Paid
22,20490.24,4,24831.77,0.891,9,0,1.212,1,1,0,393.0,0.732,Default
62,93657.39,7,1000.0,0.799,8,1,0.011,12,0,0,622.0,0.379,Paid
65,61869.39,29,33584.44,0.665,6,2,0.543,14,1,0,550.0,0.491,Default
26,68368.56,18,15038.07,0.95,6,1,0.22,9,0,1,547.0,0.48,Default
48,56686.62,29,7085.21,0.583,2,0,0.125,13,0,0,718.0,0.233,Paid
48,60622.01,30,11540.74,0.214,5,7,0.19,3,1,1,553.0,0.453,Default
64,71761.69,15,19209.89,0.714,9,0,0.268,12,0,1,657.0,0.356,Paid
64,27267.05,37,10188.97,0.6,8,2,0.374,7,1,0,629.0,0.398,Paid
40,46957.48,21,21594.79,0.456,4,0,0.46,2,0,0,683.0,0.298,Paid
50,43098.85,32,4377.24,0.187,7,1,0.102,9,0,0,833.0,0.111,Paid
31,68948.1,21,7024.86,0.68,9,1,0.102,4,1,0,673.0,0.331,Paid
48,60087.32,7,17443.65,0.463,5,0,0.29,8,0,0,692.0,0.278,Paid
45,72361.92,36,8799.57,0.588,2,2,0.122,6,1,1,651.0,0.32,Paid
59,63295.5,11,34591.85,0.343,2,1,0.547,9,1,0,630.0,0.349,Paid
53,81171.78,4,23293.72,0.195,8,1,0.287,5,1,0,742.0,0.226,Paid
21,45194.51,24,20121.54,0.385,8,2,0.445,10,0,0,654.0,0.359,Paid
47,61163.12,28,16114.25,0.842,8,2,0.263,3,0,0,561.0,0.48,Default
33,82187.27,12,11532.16,0.198,5,2,0.14,14,0,1,731.0,0.217,Paid
61,78186.52,25,12439.81,0.488,2,0,0.159,11,0,0,732.0,0.213,Paid
23,30407.11,21,6650.05,0.327,8,1,0.219,2,0,0,750.0,0.224,Paid
59,39577.78,28,17120.05,0.945,4,0,0.433,3,0,0,556.0,0.472,Default
26,58364.18,11,2541.21,0.129,9,0,0.044,2,0,1,850.0,0.063,Paid
28,55303.27,27,29583.47,0.278,6,1,0.535,5,0,0,704.0,0.288,Paid
47,58691.47,8,15610.22,0.468,7,4,0.266,13,0,0,547.0,0.471,Default
29,75923.81,9,28697.63,0.28,3,4,0.378,11,0,1,563.0,0.427,Paid
57,65787.66,25,23932.47,0.707,2,3,0.364,7,1,0,505.0,0.512,Default
53,66953.82,35,14306.98,0.395,2,0,0.214,12,1,0,769.0,0.172,Paid
62,73412.27,39,19459.56,0.776,3,2,0.265,1,0,1,577.0,0.432,Paid
64,81483.48,10,10738.43,0.563,7,2,0.132,3,1,0,630.0,0.365,Paid
44,15000.0,5,14037.45,0.447,8,1,0.936,6,0,1,539.0,0.52,Default
35,52267.47,3,7239.0,0.389,4,2,0.138,11,0,1,651.0,0.311,Paid
52,42340.64,26,31656.31,0.256,3,2,0.748,1,0,1,611.0,0.395,Paid
52,69506.32,23,16880.78,0.285,7,2,0.243,8,1,1,717.0,0.261,Paid
44,50757.92,4,23462.8,0.214,3,1,0.462,5,0,1,676.0,0.286,Paid
61,61517.23,2,10621.31,0.842,8,1,0.173,14,1,0,567.0,0.455,Default
69,77042.86,6,30777.77,0.56,4,0,0.399,6,0,0,634.0,0.352,Paid
69,47940.28,23,7753.89,0.499,8,1,0.162,11,0,1,714.0,0.272,Paid
32,67256.31,21,13850.56,0.35,2,1,0.206,2,0,0,716.0,0.23,Paid
59,91076.56,11,10289.59,0.531,8,3,0.113,1,1,0,610.0,0.394,Paid
22,76632.31,34,17749.21,0.871,8,0,0.232,1,1,1,650.0,0.37,Paid
23,28284.45,16,8091.2,0.846,3,1,0.286,4,1,0,546.0,0.462,Default
69,54165.07,2,20905.93,0.607,2,1,0.386,13,0,0,565.0,0.425,Paid
57,67116.33,10,17631.54,0.543,7,2,0.263,13,0,0,610.0,0.396,Paid
69,71055.68,5,13409.12,0.26,9,5,0.189,11,0,0,589.0,0.421,Paid
37,54953.02,35,4344.94,0.694,1,1,0.079,6,1,1,661.0,0.301,Paid
69,47204.22,16,14191.62,0.844,5,2,0.301,1,0,1,514.0,0.516,Default
22,61355.26,21,13946.59,0.334,3,2,0.227,7,0,0,681.0,0.28,Paid
22,38262.31,0,23964.1,0.455,9,3,0.626,7,1,1,513.0,0.54,Default
48,81994.69,2,12105.82,0.149,8,2,0.148,2,1,0,740.0,0.22,Paid
43,97373.62,15,5206.25,0.848,9,1,0.053,7,1,1,620.0,0.395,Paid
57,67893.88,34,1000.0,0.141,9,2,0.015,13,0,0,838.0,0.113,Paid
52,55351.23,13,26491.49,0.705,3,0,0.479,2,1,0,584.0,0.42,Paid
53,78818.02,6,13215.09,0.224,7,2,0.168,12,0,1,716.0,0.248,Paid
21,75438.58,25,18288.46,0.732,5,2,0.242,4,0,0,577.0,0.436,Paid
39,54489.19,30,9844.84,0.648,6,2,0.181,2,0,0,630.0,0.373,Paid
22,59043.13,23,9011.19,0.692,8,1,0.153,7,1,0,658.0,0.347,Paid
64,47809.31,18,14042.51,0.641,8,1,0.294,10,0,0,635.0,0.379,Paid
46,63293.7,36,6645.22,0.419,7,1,0.105,11,1,0,770.0,0.197,Paid
52,65978.18,0,11323.91,0.627,1,1,0.172,1,0,0,593.0,0.372,Paid
26,44397.35,24,22144.71,0.268,1,1,0.499,9,0,0,683.0,0.279,Paid
52,38506.47,9,22018.25,0.305,6,1,0.572,12,0,1,652.0,0.345,Paid
24,33479.69,17,9972.96,0.111,9,2,0.298,5,0,0,756.0,0.22,Paid
31,68330.69,0,12706.97,0.62,8,2,0.186,5,1,0,587.0,0.424,Paid
37,59770.35,28,1000.0,0.832,1,1,0.017,11,0,0,618.0,0.352,Paid
58,58328.52,12,1000.0,0.402,8,2,0.017,6,1,0,710.0,0.262,Paid
44,69290.52,3,9855.51,0.244,5,0,0.142,5,0,0,779.0,0.154,Paid
25,41980.76,11,15437.58,0.816,2,1,0.368,14,0,1,524.0,0.485,Default
54,38594.95,18,2291.98,0.649,7,1,0.059,4,0,1,674.0,0.311,Paid
26,64821.64,25,22038.31,0.881,2,2,0.34,4,1,0,498.0,0.524,Default
42,25426.42,37,23512.29,0.056,4,0,0.925,8,0,1,742.0,0.246,Paid
31,54820.31,15,6569.21,0.423,4,3,0.12,8,1,0,629.0,0.345,Paid
68,109328.93,24,6128.86,0.888,5,1,0.056,14,1,0,605.0,0.394,Paid
36,33029.25,9,19114.66,0.678,6,1,0.579,1,0,0,539.0,0.497,Default
53,51405.15,36,31690.95,0.486,2,1,0.616,11,1,0,623.0,0.377,Paid
29,17542.14,27,10824.53,0.436,8,1,0.617,6,0,0,650.0,0.375,Paid
26,55325.44,27,24364.39,0.882,9,2,0.44,12,0,1,516.0,0.551,Default
36,99330.73,24,14735.24,0.824,3,2,0.148,9,0,0,556.0,0.446,Paid
49,69338.35,24,15611.53,0.061,7,1,0.225,3,0,0,830.0,0.114,Paid
23,47724.41,11,13121.67,0.163,4,3,0.275,6,0,0,668.0,0.296,Paid
40,103628.21,7,24363.53,0.526,4,2,0.235,11,0,1,599.0,0.387,Paid
56,25152.95,35,34817.13,0.157,1,2,1.384,10,0,0,521.0,0.528,Default
39,69078.86,38,23549.25,0.306,5,1,0.341,5,1,0,751.0,0.218,Paid
46,61298.26,23,3204.18,0.826,6,0,0.052,13,0,0,668.0,0.32,Paid
23,55059.51,22,12457.77,0.409,5,3,0.226,1,0,0,631.0,0.358,Paid
39,76141.83,36,1000.0,0.469,6,2,0.013,14,0,1,729.0,0.24,Paid
40,36360.41,10,35552.97,0.212,3,0,0.978,14,0,0,626.0,0.378,Paid
52,66252.45,16,18520.34,0.61,2,2,0.28,13,1,0,573.0,0.416,Paid
27,63713.17,27,6975.47,0.162,5,1,0.109,13,0,1,819.0,0.114,Paid
61,42579.75,2,17623.76,0.636,6,3,0.414,12,0,0,490.0,0.545,Default
53,98999.91,1,33853.85,0.744,6,1,0.342,9,0,0,550.0,0.468,Default
60,56363.25,28,6638.28,0.862,5,1,0.118,8,1,0,609.0,0.394,Paid
59,57226.99,33,9297.44,0.592,2,0,0.162,9,1,0,716.0,0.239,Paid
38,39446.46,13,3264.86,0.359,1,1,0.083,13,0,0,717.0,0.212,Paid
60,56733.19,32,20671.54,0.842,6,0,0.364,13,0,0,619.0,0.402,Paid
21,106695.09,17,13604.67,0.605,1,1,0.128,5,0,0,642.0,0.316,Paid
31,54945.76,28,1000.0,0.383,1,2,0.018,14,0,0,712.0,0.223,Paid
48,70374.04,1,18374.84,0.35,6,2,0.261,6,0,0,645.0,0.336,Paid
45,79010.95,10,24495.45,0.348,1,1,0.31,3,0,0,669.0,0.282,Paid
43,56371.95,30,9673.04,0.102,2,3,0.172,1,1,0,735.0,0.202,Paid
51,51808.19,12,14545.91,0.144,1,0,0.281,3,0,0,780.0,0.138,Paid
50,69445.28,25,12981.26,0.133,7,1,0.187,14,0,0,818.0,0.129,Paid
62,55174.83,33,21874.48,0.34,4,1,0.396,5,0,1,715.0,0.259,Paid
55,53363.1,9,1000.0,0.491,4,0,0.019,13,0,0,737.0,0.204,Paid
27,78797.8,11,8432.41,0.187,4,2,0.107,9,0,0,734.0,0.205,Paid
36,58611.54,21,11938.92,0.82,5,3,0.204,6,1,0,510.0,0.517,Default
46,84264.8,30,22706.91,0.111,9,1,0.269,4,0,0,828.0,0.135,Paid
68,58161.47,18,15022.39,0.929,5,0,0.258,7,0,0,581.0,0.433,Paid
69,33656.09,23,1908.43,0.119,2,0,0.057,12,1,0,850.0,0.039,Paid
22,15000.0,24,9241.99,0.882,8,2,0.616,9,0,0,470.0,0.61,Default
21,23237.03,34,27597.69,0.292,8,1,1.188,7,0,1,593.0,0.475,Default
68,26680.79,7,1768.73,0.968,9,1,0.066,7,0,0,565.0,0.463,Default
32,65330.76,4,25275.86,0.535,4,2,0.387,1,0,0,560.0,0.442,Paid
25,40573.35,21,24358.18,0.067,3,2,0.6,3,0,1,687.0,0.285,Paid
57,20517.37,27,27189.0,0.313,6,2,1.325,7,1,0,495.0,0.589,Default
52,57381.89,11,25998.92,0.924,1,2,0.453,8,1,0,429.0,0.604,Default
29,38363.44,32,28625.8,0.329,6,0,0.746,14,0,0,696.0,0.311,Paid
61,69261.98,15,1000.0,0.384,5,3,0.014,6,1,0,667.0,0.298,Paid
55,68765.37,25,28089.31,0.091,1,3,0.408,8,0,1,676.0,0.279,Paid
39,70881.73,11,19950.88,0.286,6,1,0.281,7,0,0,720.0,0.247,Paid
68,15000.0,22,9279.49,0.291,3,1,0.619,12,0,1,658.0,0.328,Paid
36,60908.18,25,3194.71,0.716,8,0,0.052,10,1,0,715.0,0.272,Paid
23,57571.95,12,15302.85,0.52,3,0,0.266,11,0,0,680.0,0.284,Paid
40,35567.11,22,38811.11,0.2,3,2,1.091,6,0,0,551.0,0.483,Default
44,17251.38,30,20215.47,0.79,7,2,1.172,10,0,0,394.0,0.728,Default
53,57826.3,35,10143.21,0.619,1,2,0.175,14,1,0,624.0,0.35,Paid
44,81282.32,26,38687.24,0.3,8,2,0.476,14,1,0,677.0,0.331,Paid
31,15000.0,35,21454.7,0.258,4,1,1.43,10,0,1,537.0,0.532,Default
69,43349.58,22,21775.88,0.91,5,4,0.502,1,0,1,385.0,0.691,Default
28,62630.7,37,17900.2,0.642,5,1,0.286,7,0,0,659.0,0.339,Paid
56,82498.4,2,20144.41,0.801,4,3,0.244,12,0,0,465.0,0.56,Default
58,53752.57,29,1000.0,0.26,1,1,0.019,12,1,0,791.0,0.121,Paid
60,98620.06,31,16532.32,0.598,3,2,0.168,7,1,0,634.0,0.347,Paid
40,24093.87,14,22959.64,0.1,8,2,0.953,13,1,0,617.0,0.418,Paid
55,19661.24,37,30803.91,0.603,2,2,1.5,11,1,0,373.0,0.737,Default
68,80354.3,10,37943.79,0.239,8,0,0.472,11,1,0,744.0,0.237,Paid
45,15000.0,1,26046.27,0.672,4,0,1.5,9,1,0,370.0,0.737,Default
55,69230.65,25,17124.43,0.917,9,1,0.247,8,0,1,581.0,0.461,Default
45,54109.35,33,15704.12,0.477,8,0,0.29,8,1,0,755.0,0.232,Paid
49,41979.99,0,8018.98,0.334,8,1,0.191,4,0,0,712.0,0.261,Paid
38,51466.66,10,20461.93,0.165,4,1,0.398,1,1,0,721.0,0.235,Paid
66,34218.56,4,34802.1,0.674,2,1,1.017,11,1,1,422.0,0.637,Default
38,53633.32,25,11308.11,0.593,8,2,0.211,5,0,0,640.0,0.371,Paid
22,60348.39,5,16858.13,0.556,7,1,0.279,9,0,1,632.0,0.366,Paid
55,51675.56,34,7918.37,0.92,2,2,0.153,1,0,1,541.0,0.466,Default
36,48301.27,4,25382.32,0.96,7,0,0.526,3,0,0,500.0,0.554,Default
61,65082.74,8,27480.23,0.717,1,0,0.422,4,1,0,572.0,0.417,Paid
